Hygiene,Energy,Fun,Current State,Tidur Siang,Tidur Malam,Makan Hamburger,Makan Pizza,Makan Steak and Beans,Minum Air,Minum Kopi,Minum Jus,Buang Air Kecil,Buang Air Besar,Bersosialisasi ke Kafe,Bermain Media Sosial,Bermain Komputer,Mandi,Cuci Tangan,Mendengarkan Musik di Radio,Membaca Koran,Membaca Novel
0,0,0,q0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,5,q1,q9,q13,q5,q9,q13,q1,q1,q1,q17,q1,q1,q1,q1,q1,q17,q1,q1,q1
0,0,10,q2,q10,q14,q6,q10,q14,q2,q2,q2,q18,q2,q2,q2,q2,q2,q18,q2,q2,q2
0,0,15,q3,q11,q15,q7,q11,q15,q3,q3,q3,q19,q3,q3,q3,q3,q3,q19,q3,q3,q3
0,5,0,q4,q12,q4,q8,q12,q4,q4,q4,q4,q20,q32,q4,q4,q4,q48,q20,q2,q1,q2
0,5,5,q5,q13,q5,q9,q13,q5,q5,q5,q5,q21,q33,q5,q5,q5,q49,q21,q3,q2,q3
0,5,10,q6,q14,q6,q10,q14,q6,q6,q6,q6,q22,q34,q6,q6,q6,q50,q22,q6,q3,q6
0,5,15,q7,q15,q7,q11,q15,q7,q7,q7,q7,q23,q35,q7,q7,q7,q51,q23,q7,q7,q7
0,10,0,q8,q8,q8,q12,q8,q8,q8,q8,q8,q24,q36,q8,q2,q3,q52,q24,q6,q5,q6
0,10,5,q9,q9,q9,q13,q9,q9,q9,q9,q9,q25,q37,q9,q3,q9,q53,q25,q7,q6,q7
0,10,10,q10,q10,q10,q14,q10,q10,q10,q10,q10,q26,q38,q10,q10,q10,q54,q26,q10,q7,q10
0,10,15,q11,q11,q11,q15,q11,q11,q11,q11,q11,q27,q39,q11,q11,q11,q55,q27,q11,q11,q11
0,15,0,q12,q12,q12,q12,q12,q12,q12,q12,q12,q28,q40,q12,q6,q7,q56,q28,q10,q9,q10
0,15,5,q13,q13,q13,q13,q13,q13,q13,q13,q13,q29,q41,q13,q7,q13,q57,q29,q11,q10,q11
0,15,10,q14,q14,q14,q14,q14,q14,q14,q14,q14,q30,q42,q14,q14,q14,q58,q30,q14,q11,q14
0,15,15,q15,q15,q15,q15,q15,q15,q15,q15,q15,q31,q43,q15,q15,q15,q59,q31,q15,q15,q15
5,0,0,q16,q24,q28,q20,q24,q28,q0,q4,q8,q32,q16,q16,q16,q16,q16,q32,q16,q16,q16
5,0,5,q17,q25,q29,q21,q25,q29,q1,q5,q9,q33,q17,q17,q17,q17,q17,q33,q17,q17,q17
5,0,10,q18,q26,q30,q22,q26,q30,q2,q6,q10,q34,q18,q18,q18,q18,q18,q34,q18,q18,q18
5,0,15,q19,q27,q31,q23,q27,q31,q3,q7,q11,q35,q19,q19,q19,q19,q19,q35,q19,q19,q19
5,5,0,q20,q28,q20,q24,q28,q20,q4,q8,q12,q36,q48,q20,q20,q20,q20,q36,q18,q17,q18
5,5,5,q21,q29,q21,q25,q29,q21,q5,q9,q13,q37,q49,q21,q21,q21,q21,q37,q19,q18,q19
5,5,10,q22,q30,q22,q26,q30,q22,q6,q10,q14,q38,q50,q22,q22,q22,q22,q38,q22,q19,q22
5,5,15,q23,q31,q23,q27,q31,q23,q7,q11,q15,q39,q51,q23,q23,q23,q23,q39,q23,q23,q23
5,10,0,q24,q24,q24,q28,q24,q24,q8,q12,q24,q40,q52,q3,q18,q19,q24,q40,q22,q21,q22
5,10,5,q25,q25,q25,q29,q25,q25,q9,q13,q25,q41,q53,q25,q19,q25,q25,q41,q23,q22,q23
5,10,10,q26,q26,q26,q30,q26,q26,q10,q14,q26,q42,q54,q26,q26,q26,q26,q42,q26,q23,q26
5,10,15,q27,q27,q27,q31,q27,q27,q11,q15,q27,q43,q55,q27,q27,q27,q27,q43,q27,q27,q27
5,15,0,q28,q28,q28,q28,q28,q28,q12,q28,q28,q44,q56,q7,q22,q23,q28,q44,q26,q25,q26
5,15,5,q29,q29,q29,q29,q29,q29,q13,q29,q29,q45,q57,q29,q23,q29,q29,q45,q27,q26,q27
5,15,10,q30,q30,q30,q30,q30,q30,q14,q30,q30,q46,q58,q30,q30,q30,q30,q46,q30,q27,q30
5,15,15,q31,q31,q31,q31,q31,q31,q15,q31,q31,q47,q59,q31,q31,q31,q31,q47,q31,q31,q31
10,0,0,q32,q40,q44,q36,q40,q44,q16,q20,q24,q48,q32,q32,q32,q32,q32,q48,q32,q32,q32
10,0,5,q33,q41,q45,q37,q41,q45,q17,q21,q25,q49,q33,q33,q33,q33,q33,q49,q33,q33,q33
10,0,10,q34,q42,q46,q38,q42,q46,q18,q22,q26,q50,q34,q34,q34,q34,q34,q50,q34,q34,q34
10,0,15,q35,q43,q47,q39,q43,q47,q19,q23,q27,q51,q35,q35,q35,q35,q35,q51,q35,q35,q35
10,5,0,q36,q44,q36,q40,q44,q36,q20,q24,q28,q52,q36,q36,q36,q36,q36,q52,q34,q33,q34
10,5,5,q37,q45,q37,q41,q45,q37,q21,q25,q29,q53,q37,q37,q37,q37,q37,q53,q35,q34,q35
10,5,10,q38,q46,q38,q42,q46,q38,q22,q26,q30,q54,q38,q38,q38,q38,q38,q54,q38,q35,q38
10,5,15,q39,q47,q39,q43,q47,q39,q23,q27,q31,q55,q39,q39,q39,q39,q39,q55,q39,q39,q39
10,10,0,q40,q40,q40,q44,q40,q40,q24,q28,q40,q56,q40,q19,q34,q35,q40,q56,q38,q37,q38
10,10,5,q41,q41,q41,q45,q41,q41,q25,q29,q41,q57,q41,q41,q35,q41,q41,q57,q39,q38,q39
10,10,10,q42,q42,q42,q46,q42,q42,q26,q30,q42,q58,q42,q42,q42,q42,q42,q58,q42,q39,q42
10,10,15,q43,q43,q43,q47,q43,q43,q27,q31,q43,q59,q43,q43,q43,q43,q43,q59,q43,q43,q43
10,15,0,q44,q44,q44,q44,q44,q44,q28,q44,q44,q60,q44,q23,q38,q39,q44,q60,q42,q41,q42
10,15,5,q45,q45,q45,q45,q45,q45,q29,q45,q45,q61,q45,q45,q39,q45,q45,q61,q43,q42,q43
10,15,10,q46,q46,q46,q46,q46,q46,q30,q46,q46,q62,q46,q46,q46,q46,q46,q62,q46,q43,q46
10,15,15,q47,q47,q47,q47,q47,q47,q31,q47,q47,q63,q47,q47,q47,q47,q47,q63,q47,q47,q47
15,0,0,q48,q56,q60,q52,q56,q60,q32,q36,q40,q48,q48,q48,q48,q48,q48,q48,q48,q48,q48
15,0,5,q49,q57,q61,q53,q57,q61,q33,q37,q41,q49,q49,q49,q49,q49,q49,q49,q49,q49,q49
15,0,10,q50,q58,q62,q54,q58,q62,q34,q38,q42,q50,q50,q50,q50,q50,q50,q50,q50,q50,q50
15,0,15,q51,q59,q63,q55,q59,q63,q35,q39,q43,q51,q51,q51,q51,q51,q51,q51,q51,q51,q51
15,5,0,q52,q60,q52,q56,q60,q52,q36,q40,q44,q52,q52,q52,q52,q52,q52,q52,q50,q49,q50
15,5,5,q53,q61,q53,q57,q61,q53,q37,q41,q45,q53,q53,q53,q53,q53,q53,q53,q51,q50,q51
15,5,10,q54,q62,q54,q58,q62,q54,q38,q42,q46,q54,q54,q54,q54,q54,q54,q54,q54,q51,q54
15,5,15,q55,q63,q55,q59,q63,q55,q39,q43,q47,q55,q55,q55,q55,q55,q55,q55,q55,q55,q55
15,10,0,q56,q56,q56,q60,q56,q56,q40,q44,q56,q56,q56,q35,q50,q51,q56,q56,q54,q53,q54
15,10,5,q57,q57,q57,q61,q57,q57,q41,q45,q57,q57,q57,q57,q51,q57,q57,q57,q55,q54,q55
15,10,10,q58,q58,q58,q62,q58,q58,q42,q46,q58,q58,q58,q58,q58,q58,q58,q58,q58,q55,q58
15,10,15,q59,q59,q59,q63,q59,q59,q43,q47,q59,q59,q59,q59,q59,q59,q59,q59,q59,q59,q59
15,15,0,q60,q60,q60,q60,q60,q60,q44,q60,q60,q60,q60,q39,q54,q55,q60,q60,q58,q57,q58
15,15,5,q61,q61,q61,q61,q61,q61,q45,q61,q61,q61,q61,q61,q55,q61,q61,q61,q59,q58,q59
15,15,10,q62,q62,q62,q62,q62,q62,q46,q62,q62,q62,q62,q62,q62,q62,q62,q62,q62,q59,q62
15,15,15,q63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
